Time in Seconds,Congestion Window,
0.200093,536,
0.400651,1072,
0.400694,1608,
0.601638,2144,
0.601682,2680,
0.602582,3216,
0.602626,3752,
0.802626,4288,
0.802669,4824,
0.80357,5360,
0.803613,5896,
0.804514,6432,
0.804557,6968,
0.805458,7504,
0.805501,8040,
1.00361,8576,
1.00366,9112,
1.00456,9648,
1.0046,10184,
1.0055,10720,
1.00554,11256,
1.00644,11792,
1.00649,12328,
1.00739,12864,
1.00743,13400,
1.00833,13936,
1.00838,14472,
1.00928,15008,
1.00932,15544,
1.01022,16080,
1.01026,16616,
1.2046,17152,
1.20464,17688,
1.20554,18224,
1.20559,18760,
1.20649,19296,
1.20653,19832,
1.20743,20368,
1.20748,20904,
1.20838,21440,
1.20842,21976,
1.20932,22512,
1.20936,23048,
1.21026,23584,
1.21031,24120,
1.21121,24656,
1.21125,25192,
1.21215,25728,
1.2122,26264,
1.2131,26800,
1.21314,27336,
1.21404,27872,
1.21408,28408,
1.21498,28944,
1.21503,29480,
1.21593,30016,
1.21597,30552,
1.21687,31088,
1.21692,31624,
1.21782,32160,
1.21786,32696,
1.21876,33232,
1.2188,33768,
1.40559,34304,
1.40563,34840,
1.40653,35376,
1.40657,35912,
1.40748,36448,
1.40752,36984,
1.40842,37520,
1.40846,38056,
1.40936,38592,
1.40941,39128,
1.41031,39664,
1.41035,40200,
1.41125,40736,
1.41129,41272,
1.4122,41808,
1.41224,42344,
1.41314,42880,
1.41318,43416,
1.41408,43952,
1.41413,44488,
1.41503,45024,
1.41507,45560,
1.41597,46096,
1.41601,46632,
1.41692,47168,
1.41696,47704,
1.41786,48240,
1.4179,48776,
1.4188,49312,
1.41885,49848,
1.41975,50384,
1.41979,50920,
1.42069,51456,
1.42073,51992,
1.42164,52528,
1.42168,53064,
1.42258,53600,
1.42262,54136,
1.42352,54672,
1.42357,55208,
1.42447,55744,
1.42451,56280,
1.42541,56816,
1.42545,57352,
1.42636,57888,
1.4264,58424,
1.4273,58960,
1.42734,59496,
1.42824,60032,
1.42829,60568,
1.42919,61104,
1.42923,61640,
1.43013,62176,
1.43017,62712,
1.43108,63248,
1.43112,63784,
1.43202,64320,
1.43206,64856,
1.43296,65392,
1.43301,65928,
1.43391,66464,
1.43395,67000,
1.43485,67536,
1.43489,68072,
1.60657,68608,
1.60662,69144,
1.60752,69680,
1.60756,70216,
1.60846,70752,
1.60851,71288,
1.60941,71824,
1.60945,72360,
1.61035,72896,
1.61039,73432,
1.61129,73968,
1.61134,74504,
1.61224,75040,
1.61228,75576,
1.61318,76112,
1.61323,76648,
1.61413,77184,
1.61417,77720,
1.61507,78256,
1.61511,78792,
1.61601,79328,
1.61606,79864,
1.61696,80400,
1.617,80936,
1.6179,81472,
1.61795,82008,
1.61885,82544,
1.61889,83080,
1.61979,83616,
1.61983,84152,
1.62073,84688,
1.62078,85224,
1.62168,85760,
1.62172,86296,
1.62262,86832,
1.62267,87368,
1.62357,87904,
1.62361,88440,
1.62451,88976,
1.62455,89512,
1.62545,90048,
1.6255,90584,
1.6264,91120,
1.62644,91656,
1.62734,92192,
1.62739,92728,
1.62829,93264,
1.62833,93800,
1.62923,94336,
1.62927,94872,
1.63017,95408,
1.63022,95944,
1.63112,96480,
1.63116,97016,
1.63206,97552,
1.63211,98088,
1.63301,98624,
1.63305,99160,
1.63395,99696,
1.63399,100232,
1.63489,100768,
1.63494,101304,
1.63584,101840,
1.63588,102376,
1.63678,102912,
1.63683,103448,
1.63773,103984,
1.63777,104520,
1.63867,105056,
1.63871,105592,
1.63961,106128,
1.63966,106664,
1.64056,107200,
1.6406,107736,
1.6415,108272,
1.64155,108808,
1.64245,109344,
